IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
104.16.174.25,8,8,0.00,214.27,15.18
172.64.103.123,8,8,0.00,212.63,14.59
104.25.172.78,8,8,0.00,214.53,14.07
172.67.129.225,8,8,0.00,202.66,13.50
104.16.208.232,8,8,0.00,213.53,13.17
172.67.237.6,8,8,0.00,213.51,13.01
172.67.240.201,8,8,0.00,214.41,12.92
104.22.1.59,8,8,0.00,214.66,12.86
198.41.217.210,8,8,0.00,214.47,12.68
104.18.220.83,8,8,0.00,215.09,8.29
